Diana Belbita,3.20,Molly McCann,1.36,Molly McCann,03.02.2024
Charles Johnson,2.80,Azat Maksum,1.45,Azat Maksum,03.02.2024
Pete Rodriguez,3.00,Themba Gorimbo,1.40,Themba Gorimbo,03.02.2024
Blake Bilder,2.25,JeongYeong Lee,1.67,JeongYeong Lee,03.02.2024
Marquel Mederos,1.74,Landon Quiñones,2.10,Marquel Mederos,03.02.2024
Jamal Pogues,2.35,Thomas Petersen,1.61,Thomas Petersen,03.02.2024
Nassourdine Imavov,1.62,Roman Dolidze,2.31,Dolidze,04.02.2024
Drew Dober,2.29,Renato Moicano,1.62,Drew Dober,04.02.2024
Muslim Salikhov,3.20,Randy Brown,1.36,Randy Brown,04.02.2024
Natalia Silva,1.28,Viviane Araujo,3.75,Natalia Silva,04.02.2024
Makhmud Muradov,2.25,Aliaskhab Khizriev,1.67,Makhmud Muradov,04.02.2024
Carlos Prates,1.44,Trevin Giles,2.85,Carlos Prates,10.02.2024
Bolaji Oki,1.36,Damir Hadzovic,3.25,Bolaji Oki,10.02.2024
Bruna Brasil,2.85,Loma Lookboonmee,1.44,Loma Lookboonmee,10.02.2024
Jeremiah Wells,1.53,Max Griffin,2.55,Max Griffin,10.02.2024
Bogdan Guskov,2.15,Zac Pauga,1.72,Bogdan Guskov,10.02.2024
Hyder Amil,2.85,Melsik Baghdasaryan,1.44,Hyder Amil,10.02.2024
Andre Fili,2.15,Dan Ige,1.67,Dan Ige,11.02.2024
Albert Duraev,1.59,Robert Bryczek,2.40,Albert Duraev,11.02.2024
Gregory Rodrigues,1.43,Brad Tavares,2.90,Gregory Rodrigues,11.02.2024
Darrius Flowers,2.10,Michael Johnson,1.75,Michael Johnson,11.02.2024
Armen Petrosyan,1.95,Rodolfo Vieira,1.87,RODOLFO VIEIRA,11.02.2024
Brendson Ribeiro,2.30,Zhang Mingyang,1.59,Zhang Mingyang,17.02.2024
Danny Barlow,1.43,Josh Quinlan,2.75,Quinlan,17.02.2024
Miranda Maverick,1.51,Andrea Lee,2.50,Miranda Maverick,18.02.2024
Justin Tafa,2.30,Marcos Rogerio de Lima,1.57,de Lima,18.02.2024
Paulo Costa,2.60,Robert Whittaker,1.46,Robert Whittaker,18.02.2024
Ian Garry,1.39,Geoff Neal,2.80,Ian Garry,18.02.2024
Henry Cejudo,2.35,Merab Dvalishvili,1.55,draw,18.02.2024
Roman Kopylov,2.20,Anthony Hernandez,1.60,ROMAN KOPYLOV,18.02.2024
Raoni Barcelos,1.55,Cristian Quiñonez,2.45,Raoni Barcelos,25.02.2024
Mateus Mendonca,1.73,Jesus Aguilar,2.00,Mateus Mendonca,25.02.2024
Daniel Lacerda,3.75,Édgar Cháirez,1.25,Édgar Cháirez,25.02.2024
Farés Ziam,1.40,Claudio Puelles,3.00,Claudio Puelles,25.02.2024
Denys Bondar,1.78,Luis Rodriguez,2.05,Luis Rodriguez,25.02.2024
Felipe dos Santos,1.29,Victor Altamirano,3.40,Victor Altamirano,25.02.2024
Muhammad Naimov,1.37,Erik Silva,3.10,Muhammad Naimov,25.02.2024
Brandon Royval,1.40,Brandon Moreno,3.00,Brandon Moreno,25.02.2024
Brian Ortega,2.40,Yair Rodriguez,1.58,Yair Rodriguez,25.02.2024
Francisco Prado,2.87,Daniel Zellhuber,1.44,Daniel Zellhuber,25.02.2024
Ricky Turcios,3.40,Raul Rosas Jr.,1.33,Ricky Turcios,25.02.2024
Chris Duncan,2.40,Manuel Torres,1.58,Manuel Torres,25.02.2024
Michal Oleksiejczuk,2.35,Michel Pereira,1.60,Pereira,09.03.2024
Josh Parisian,4.90,Robelis Despaigne,1.18,Josh Parisian,09.03.2024
Maryna Moroz,1.55,Joanne Wood,2.45,MARYNA MOROZ,09.03.2024
Jailton Almeida,1.83,Curtis Blaydes,1.93,Curtis Blaydes,10.03.2024
Maycee Barber,1.55,Katlyn Cerminara,2.40,Maycee Barber,10.03.2024
Rafael Dos Anjos,3.00,Mateusz Gamrot,1.36,Rafael Dos Anjos,10.03.2024
Kyler Phillips,1.50,Pedro Munhoz,2.50,Kyler Phillips,10.03.2024
Marlon Vera,2.60,Sean O'Malley,1.52,draw,10.03.2024
Benoit Saint Denis,1.66,Dustin Poirier,2.25,Dustin Poirier,10.03.2024
Michael Page,2.15,Kevin Holland,1.67,Michael Page,10.03.2024
Jack Della Maddalena,1.95,Gilbert Burns,1.78,Gilbert Burns,10.03.2024
Song Yadong,2.20,Petr Yan,1.63,Petr Yan,10.03.2024
Marcin Tybura,1.95,Tai Tuivasa,1.78,Tai Tuivasa,17.03.2024
Rose Namajunas,1.57,Amanda Ribas,2.50,Rose Namajunas,24.03.2024
Vicente Luque,3.25,Sean Brady,1.36,Vicente Luque,31.03.2024
Manon Fiorot,1.56,Erin Blanchfield,2.25,Manon Fiorot,31.03.2024
Jim Miller,2.70,Bobby Green,1.50,Bobby Green,14.04.2024
Cody Brundage,9.00,Bo Nickal,1.07,Bo Nickal,14.04.2024
Kayla Harrison,1.22,Holly Holm,4.50,Kayla Harrison,14.04.2024
Aleksandar Rakic,1.72,Jirí Procházka,2.10,JIRÍ PROCHÁZKA,14.04.2024
Aljamain Sterling,1.85,Calvin Kattar,1.85,Aljamain Sterling,14.04.2024
Cody Garbrandt,3.50,Deiveson Figueiredo,1.30,Cody Garbrandt,14.04.2024
Yan Xiaonan,3.75,Zhang Weili,1.28,Zhang Weili,14.04.2024
Max Holloway,2.70,Justin Gaethje,1.50,Max Holloway,14.04.2024
Arman Tsarukyan,1.57,Charles Oliveira,2.50,Charles Oliveira,14.04.2024
Carlos Vera,6.75,Rinya Nakamura,1.12,Rinya Nakamura,18.02.2024
Isaac Dulgarian,1.73,Christian Rodriguez,2.05,Rodriguez,16.03.2024
Bryan Barberena,2.10,Gerald Meerschaert,1.67,Bryan Barberena,16.03.2024
Chelsea Chandler,1.91,Josiane Nunes,1.83,Josiane Nunes,16.03.2024
Ange Loosa,2.10,Bryan Battle,1.67,Bryan Battle,16.03.2024
Cory McKenna,2.20,Jaqueline Amorim,1.62,Cory McKenna,16.03.2024
Chad Anheliger,2.50,Charalampos Grigoriou,1.50,Charalampos Grigoriou,16.03.2024
Kennedy Nzechukwu,1.29,Ovince Saint Preux,3.40,Kennedy Nzechukwu,17.03.2024
Danny Silva,2.50,Josh Culibao,1.50,Josh Culibao,17.03.2024
Brad Riddell,2.50,Thiago Moises,1.50,Thiago Moises,17.03.2024
Macy Chiasson,1.62,Pannie Kianzad,2.20,Macy Chiasson,17.03.2024
SeungWoo Choi,1.95,Morgan Charrière,1.75,Morgan Charrière,07.04.2024
Julija Stoliarenko,1.62,Luana Carolina,2.24,Luana Carolina,03.02.2024
MarQuel Mederos,1.61,Landon Quiñones,2.26,Marquel Mederos,03.02.2024
Charles Radtke,2.69,Gilbert Urbina,1.47,Charles Radtke,04.02.2024
Ihor Potieria,1.63,Robert Bryczek,2.30,Ihor Potieria,11.02.2024
Timmy Cuamba,2.45,Bolaji Oki,1.53,Bolaji Oki,10.02.2024
Marcin Prachnio,2.71,Devin Clark,1.44,Marcin Prachnio,10.02.2024
Hyder Amil,1.42,Fernie Garcia,2.78,Hyder Amil,10.02.2024
Joe Pyfer,1.40,Jack Hermansson,2.97,Joe Pyfer,11.02.2024
Timothy Cuamba,2.45,Bolaji Oki,1.53,Bolaji Oki,10.02.2024
RB Leipzig,3.10,Real Madrid,2.15,Real Madrid,13.02.2024
Lazio,5.00,Bayern Munich,1.65,draw,14.02.2024
Napoli,2.65,Barcelona,2.50,Barcelona,21.02.2024
Inter,1.88,Atl. Madrid,4.20,Inter Milan,20.02.2024
FC Copenhagen,12.50,Manchester City,1.23,Manchester City,13.02.2024
FC Porto,4.20,Arsenal,1.82,draw,21.02.2024
PSG,1.65,Real Sociedad,5.50,PSG,14.02.2024
PSV,2.10,Dortmund,3.20,PSV,20.02.2024
Betis,2.05,Alaves,3.75,Real Betis,18.02.2024
Atl. Madrid,1.46,Las Palmas,6.50,Atletico Madrid,17.02.2024
Granada CF,2.05,Almeria,3.40,Granada CF,18.02.2024
Osasuna,1.75,Cadiz CF,5.25,draw,17.02.2024
Mallorca,3.25,Real Sociedad,2.50,draw,18.02.2024
Villarreal,2.05,Getafe,3.50,Villarreal,16.02.2024
Valencia,2.20,Sevilla,3.30,Sevilla,17.02.2024
Celta Vigo,3.80,Barcelona,1.88,Barcelona,17.02.2024
Rayo Vallecano,5.25,Real Madrid,1.63,Real Madrid,18.02.2024
Ath Bilbao,2.05,Girona,3.40,draw,19.02.2024
Real Sociedad,1.75,Villarreal,4.75,draw,23.02.2024
Almeria,4.33,Atl. Madrid,1.75,Atletico Madrid,24.02.2024
Barcelona,1.39,Getafe,7.50,Barcelona,24.02.2024
Real Madrid,1.31,Sevilla,9.25,Real Madrid,25.02.2024
Granada CF,2.55,Valencia,2.80,draw,24.02.2024
Las Palmas,2.45,Osasuna,3.10,Las Palmas,25.02.2024
Alaves,2.00,Mallorca,4.33,draw,24.02.2024
Betis,2.90,Ath Bilbao,2.45,draw,25.02.2024
Cadiz CF,2.75,Celta Vigo,2.75,draw,25.02.2024
Everton,1.75,Crystal Palace,5.00,Everton,19.02.2024
Fulham,2.87,Aston Villa,2.25,draw,17.02.2024
Manchester City,1.35,Chelsea,8.00,Manchester City,17.02.2024
Tottenham,1.57,Wolves,5.00,Tottenham Hotspur,17.02.2024
Newcastle,1.80,Bournemouth,3.90,Newcastle United,17.02.2024
Luton,3.80,Manchester Utd,1.85,Manchester United,18.02.2024
Nottingham,2.40,West Ham,2.80,West Ham United,17.02.2024
Burnley,8.75,Arsenal,1.33,Arsenal,17.02.2024
Sheffield Utd,4.75,Brighton,1.65,Sheffield United,18.02.2024
Brentford,5.00,Liverpool,1.60,draw,17.02.2024
Arsenal,1.44,Newcastle,6.50,Arsenal,24.02.2024
Wolves,1.50,Sheffield Utd,6.00,Wolverhampton Wanderers,25.02.2024
Manchester City,1.23,Brentford,11.50,Manchester City,20.02.2024
Manchester Utd,1.57,Fulham,5.25,Manchester United,24.02.2024
Aston Villa,1.47,Nottingham,6.25,Aston Villa,24.02.2024
Liverpool,1.19,Luton,14.00,Liverpool,21.02.2024
Crystal Palace,1.88,Burnley,4.10,Crystal Palace,24.02.2024
Bournemouth,5.75,Manchester City,1.49,Manchester City,24.02.2024
Brighton,1.88,Everton,3.90,draw,24.02.2024
Augsburg,4.10,RB Leipzig,1.75,draw,10.02.2024
Werder Bremen,1.82,Heidenheim,4.00,Werder Bremen,10.02.2024
B. Monchengladbach,1.60,Darmstadt,5.25,B. Monchengladbach,10.02.2024
Eintracht Frankfurt,1.75,Bochum,4.50,Eintracht Frankfurt,10.02.2024
Stuttgart,1.43,Mainz,7.00,Stuttgart,11.02.2024
Bayer Leverkusen,2.55,Bayern Munich,2.50,draw,10.02.2024
Hoffenheim,1.78,FC Koln,4.10,draw,11.02.2024
Union Berlin,2.25,Wolfsburg,3.10,draw,10.02.2024
FC Koln,2.35,Werder Bremen,2.90,draw,16.02.2024
Heidenheim,6.75,Bayer Leverkusen,1.43,Bayer Leverkusen,17.02.2024
Wolfsburg,2.75,Dortmund,2.35,Borussia Dortmund,17.02.2024
Bochum,8.50,Bayern Munich,1.32,Bayern Munich,18.02.2024
Hoffenheim,2.10,Union Berlin,3.30,Hoffenheim,17.02.2024
Mainz,2.05,Augsburg,3.50,Mainz,17.02.2024
RB Leipzig,1.41,B. Monchengladbach,6.50,RB Leipzig,17.02.2024
Freiburg,2.15,Eintracht Frankfurt,3.20,Eintracht Frankfurt,18.02.2024
Darmstadt,5.75,Stuttgart,1.52,draw,17.02.2024
Bayer Leverkusen,1.16,Mainz,17.00,Bayer Leverkusen,23.02.2024
B. Monchengladbach,1.83,Bochum,3.90,draw,24.02.2024
Union Berlin,1.98,Heidenheim,3.80,Union Berlin,24.02.2024
Dortmund,1.49,Hoffenheim,5.50,Borussia Dortmund,25.02.2024
Eintracht Frankfurt,2.05,Wolfsburg,3.50,draw,25.02.2024
Bayern Munich,1.46,RB Leipzig,6.00,Bayern Munich,24.02.2024
Augsburg,2.15,Freiburg,3.20,draw,25.02.2024
Werder Bremen,1.57,Darmstadt,5.50,draw,24.02.2024
Abha,5.00,Al Taawon,1.53,draw,15.02.2024
Al Khaleej,2.85,Al Ettifaq,2.40,Al Khaleej,15.02.2024
Al Wehda,1.60,Al Taee,5.00,Al Wehda,16.02.2024
Damac,2.65,Al Shabab,2.45,Al Shabab,16.02.2024
Al Hazem,2.50,Al Feiha,2.70,Al Feiha,17.02.2024
Al Hilal,1.18,Al Raed,12.00,Al Hilal,18.02.2024
Al Ittihad,1.25,Al Riyadh,11.00,Al Ittihad,18.02.2024
Wolfsburg,2.05,Hoffenheim,3.30,Wolfsburg,04.02.2024
RB Leipzig,1.38,Union Berlin,7.75,RB Leipzig,04.02.2024
Heidenheim,4.10,Dortmund,1.72,draw,02.02.2024
FC Koln,3.00,Eintracht Frankfurt,2.30,draw,03.02.2024
Bochum,2.15,Augsburg,3.20,Bochum,03.02.2024
Mainz,2.05,Werder Bremen,3.50,Werder Bremen,03.02.2024
Bayern Munich,1.15,B. Monchengladbach,17.00,Bayern Munich,03.02.2024
Freiburg,3.00,Stuttgart,2.20,Freiburg,03.02.2024
Dortmund,1.57,Freiburg,5.25,Borussia Dortmund,09.02.2024
Mainz,2.05,Union Berlin,3.60,draw,07.02.2024
Getafe,6.00,Real Madrid,1.55,Real Madrid,01.02.2024
Alaves,4.10,Barcelona,1.85,Barcelona,03.02.2024
Girona,2.10,Real Sociedad,3.40,draw,03.02.2024
Valencia,1.65,Almeria,5.25,Valencia,03.02.2024
Ath Bilbao,1.52,Mallorca,7.00,Athletic Bilbao,02.02.2024
Villarreal,1.65,Cadiz CF,5.00,Villarreal,04.02.2024
Osasuna,2.30,Celta Vigo,3.20,draw,04.02.2024
Granada CF,2.30,Las Palmas,3.20,Granada CF,03.02.2024
Rayo Vallecano,2.20,Sevilla,3.40,draw,05.02.2024
Real Madrid,1.71,Atl. Madrid,4.40,Atletico Madrid,04.02.2024
Betis,1.90,Getafe,4.20,Getafe,04.02.2024
Las Palmas,2.75,Valencia,2.70,Valencia,10.02.2024
Barcelona,1.23,Granada CF,11.50,Barcelona,11.02.2024
Real Madrid,1.57,Girona,5.25,Real Madrid,10.02.2024
Sevilla,3.30,Atl. Madrid,2.10,Sevilla,11.02.2024
Real Sociedad,1.82,Osasuna,4.75,draw,10.02.2024
Getafe,2.25,Celta Vigo,3.30,draw,11.02.2024
Mallorca,2.30,Rayo Vallecano,3.40,Mallorca,11.02.2024
Alaves,2.15,Villarreal,3.30,Villarreal,10.02.2024
Cadiz CF,3.30,Betis,2.20,draw,09.02.2024
Al Taee,4.60,Al Ittihad,1.58,Al Taee,07.02.2024
Girona,1.62,Rayo Vallecano,5.25,draw,26.02.2024
Almeria,4.50,Ath Bilbao,1.73,draw,12.02.2024
